tool		Java Ranger 2025	Java Ranger 2025	Java Ranger 2025	Java Ranger 2025
jbmc-regression/StringMiscellaneous01.yml	true				
jbmc-regression/StringMiscellaneous02.yml	false				
jbmc-regression/StringMiscellaneous03.yml	false				
jbmc-regression/StringMiscellaneous04.yml	true				
jbmc-regression/StringStartEnd01.yml	true				
jbmc-regression/StringStartEnd02.yml	false				
jbmc-regression/StringStartEnd03.yml	false				
jbmc-regression/StringValueOf01.yml	true				
jbmc-regression/StringValueOf02.yml	false				
jbmc-regression/StringValueOf03.yml	false				
jbmc-regression/StringValueOf04.yml	false				
jbmc-regression/StringValueOf05.yml	false				
jbmc-regression/StringValueOf06.yml	false				
jbmc-regression/StringValueOf07.yml	false				
jbmc-regression/StringValueOf08.yml	false				
jbmc-regression/StringValueOf09.yml	false				
jbmc-regression/StringValueOf10.yml	false				
jbmc-regression/SubString01.yml	true				
jbmc-regression/SubString02.yml	false				
jbmc-regression/SubString03.yml	false				
jbmc-regression/TokenTest01.yml	true				
jbmc-regression/TokenTest02.yml	false				
jbmc-regression/Validate01.yml	true				
jbmc-regression/Validate02.yml	false				
jbmc-regression/aastore_aaload1.yml	true				
jbmc-regression/array1.yml	true				
jbmc-regression/array2.yml	true				
jbmc-regression/arraylength1.yml	true				
jbmc-regression/arrayread1.yml	true				
jbmc-regression/assert1.yml	true				
jbmc-regression/assert2.yml	false				
jbmc-regression/assert3.yml	false				
jbmc-regression/assert4.yml	false				
jbmc-regression/assert5.yml	true				
jbmc-regression/assert6.yml	true				
jbmc-regression/astore_aload1.yml	true				
jbmc-regression/athrow1.yml	false				
jbmc-regression/basic1.yml	true				
jbmc-regression/bitwise1.yml	true				
jbmc-regression/boolean1.yml	true				
jbmc-regression/boolean2.yml	true				
jbmc-regression/bug-test-gen-095.yml	false				
jbmc-regression/bug-test-gen-119-2.yml	true				
jbmc-regression/bug-test-gen-119.yml	true				
jbmc-regression/calc.yml	true				
jbmc-regression/cast1.yml	true				
jbmc-regression/catch1.yml	true				
jbmc-regression/char1.yml	true				
jbmc-regression/charArray.yml	true				
jbmc-regression/classtest1.yml	true				
jbmc-regression/const1.yml	true				
jbmc-regression/constructor1.yml	true				
jbmc-regression/enum1.yml	true				
jbmc-regression/exceptions1.yml	false				
jbmc-regression/exceptions10.yml	false				
jbmc-regression/exceptions11.yml	false				
jbmc-regression/exceptions12.yml	false				
jbmc-regression/exceptions13.yml	false				
jbmc-regression/exceptions14.yml	true				
jbmc-regression/exceptions15.yml	true				
jbmc-regression/exceptions16.yml	false				
jbmc-regression/exceptions18.yml	true				
jbmc-regression/exceptions2.yml	false				
jbmc-regression/exceptions3.yml	false				
jbmc-regression/exceptions4.yml	true				
jbmc-regression/exceptions5.yml	true				
jbmc-regression/exceptions6.yml	false				
jbmc-regression/exceptions7.yml	false				
jbmc-regression/exceptions8.yml	false				
jbmc-regression/exceptions9.yml	true				
jbmc-regression/fcmpx_dcmpx1.yml	true				
jbmc-regression/iarith1.yml	true				
jbmc-regression/iarith2.yml	true				
jbmc-regression/if_acmp1.yml	true				
jbmc-regression/if_expr1.yml	true				
jbmc-regression/if_icmp1.yml	true				
jbmc-regression/ifxx1.yml	true				
jbmc-regression/instanceof1.yml	true				
jbmc-regression/instanceof2.yml	true				
jbmc-regression/instanceof3.yml	true				
jbmc-regression/instanceof4.yml	true				
jbmc-regression/instanceof5.yml	true				
jbmc-regression/instanceof6.yml	true				
jbmc-regression/instanceof7.yml	true				
jbmc-regression/instanceof8.yml	true				
jbmc-regression/interface1.yml	false				
jbmc-regression/java_append_char.yml	false				
jbmc-regression/lazyloading4.yml	true				
jbmc-regression/list1.yml	true				
jbmc-regression/long1.yml	true				
jbmc-regression/lookupswitch1.yml	true				
jbmc-regression/multinewarray.yml	true				
jbmc-regression/overloading1.yml	true				
jbmc-regression/package1.yml	true				
jbmc-regression/putfield_getfield1.yml	true				
jbmc-regression/putstatic_getstatic1.yml	true				
jbmc-regression/recursion2.yml	true				
jbmc-regression/return1.yml	false				
jbmc-regression/return2.yml	false				
jbmc-regression/store_load1.yml	true				
jbmc-regression/swap1.yml	true				
jbmc-regression/synchronized.yml	true				
jbmc-regression/tableswitch1.yml	true				
jbmc-regression/uninitialised1.yml	true				
jbmc-regression/virtual1.yml	true				
jbmc-regression/virtual2.yml	false				
jbmc-regression/virtual4.yml	true				
jbmc-regression/virtual_function_unwinding.yml	true				
jpf-regression/ExDarko_false.yml	false				
jpf-regression/ExDarko_true.yml	true				
jpf-regression/ExException_false.yml	false				
jpf-regression/ExException_true.yml	true				
jpf-regression/ExGenSymExe_false.yml	false				
jpf-regression/ExGenSymExe_true.yml	true				
jpf-regression/ExLazy_false.yml	false				
jpf-regression/ExLazy_true.yml	true				
jpf-regression/ExMIT_false.yml	false				
jpf-regression/ExMIT_true.yml	true				
jpf-regression/ExSymExe10_false.yml	false				
jpf-regression/ExSymExe10_true.yml	true				
jpf-regression/ExSymExe11_false.yml	false				
jpf-regression/ExSymExe11_true.yml	true				
jpf-regression/ExSymExe12_false.yml	false				
jpf-regression/ExSymExe12_true.yml	true				
jpf-regression/ExSymExe13_false.yml	false				
jpf-regression/ExSymExe13_true.yml	true				
jpf-regression/ExSymExe14_false.yml	false				
jpf-regression/ExSymExe14_true.yml	true				
jpf-regression/ExSymExe15_false.yml	false				
jpf-regression/ExSymExe15_true.yml	true				
jpf-regression/ExSymExe16_false.yml	false				
jpf-regression/ExSymExe16_true.yml	true				
jpf-regression/ExSymExe17_false.yml	false				
jpf-regression/ExSymExe17_true.yml	true				
jpf-regression/ExSymExe18_false.yml	false				
jpf-regression/ExSymExe18_true.yml	true				
jpf-regression/ExSymExe19_false.yml	false				
jpf-regression/ExSymExe19_true.yml	true				
jpf-regression/ExSymExe1_false.yml	false				
jpf-regression/ExSymExe1_true.yml	true				
jpf-regression/ExSymExe20_false.yml	false				
jpf-regression/ExSymExe20_true.yml	true				
jpf-regression/ExSymExe21_false.yml	false				
jpf-regression/ExSymExe21_true.yml	true				
jpf-regression/ExSymExe25_false.yml	false				
jpf-regression/ExSymExe25_true.yml	true				
jpf-regression/ExSymExe26_false.yml	false				
jpf-regression/ExSymExe26_true.yml	true				
jpf-regression/ExSymExe27_false.yml	false				
jpf-regression/ExSymExe27_true.yml	true				
jpf-regression/ExSymExe28_false.yml	false				
jpf-regression/ExSymExe28_true.yml	true				
jpf-regression/ExSymExe29_false.yml	false				
jpf-regression/ExSymExe29_true.yml	true				
jpf-regression/ExSymExe2_false.yml	false				
jpf-regression/ExSymExe2_true.yml	true				
jpf-regression/ExSymExe3_false.yml	false				
jpf-regression/ExSymExe3_true.yml	true				
jpf-regression/ExSymExe4_false.yml	false				
jpf-regression/ExSymExe4_true.yml	true				
jpf-regression/ExSymExe5_false.yml	false				
jpf-regression/ExSymExe5_true.yml	true				
jpf-regression/ExSymExe6_false.yml	false				
jpf-regression/ExSymExe6_true.yml	true				
jpf-regression/ExSymExe7_false.yml	false				
jpf-regression/ExSymExe7_true.yml	true				
jpf-regression/ExSymExe8_false.yml	false				
jpf-regression/ExSymExe8_true.yml	true				
jpf-regression/ExSymExe9_false.yml	false				
jpf-regression/ExSymExe9_true.yml	true				
jpf-regression/ExSymExeArrays_false.yml	false				
jpf-regression/ExSymExeArrays_true.yml	true				
jpf-regression/ExSymExeBool_false.yml	false				
jpf-regression/ExSymExeBool_true.yml	true				
jpf-regression/ExSymExeComplexMath_false.yml	false				
jpf-regression/ExSymExeComplexMath_true.yml	true				
jpf-regression/ExSymExeD2I_false.yml	false				
jpf-regression/ExSymExeD2I_true.yml	true				
jpf-regression/ExSymExeD2L_false.yml	false				
jpf-regression/ExSymExeD2L_true.yml	true				
jpf-regression/ExSymExeF2I_false.yml	false				
jpf-regression/ExSymExeF2I_true.yml	true				
jpf-regression/ExSymExeF2L_false.yml	false				
jpf-regression/ExSymExeF2L_true.yml	true				
jpf-regression/ExSymExeFNEG_false.yml	false				
jpf-regression/ExSymExeFNEG_true.yml	true				
jpf-regression/ExSymExeGetStatic_false.yml	false				
jpf-regression/ExSymExeGetStatic_true.yml	true				
jpf-regression/ExSymExeI2D_false.yml	false				
jpf-regression/ExSymExeI2D_true.yml	true				
jpf-regression/ExSymExeI2F_false.yml	false				
jpf-regression/ExSymExeI2F_true.yml	true				
jpf-regression/ExSymExeLCMP_false.yml	false				
jpf-regression/ExSymExeLCMP_true.yml	true				
jpf-regression/ExSymExeLongBytecodes_false.yml	false				
jpf-regression/ExSymExeLongBytecodes_true.yml	true				
jpf-regression/ExSymExeResearch_false.yml	false				
jpf-regression/ExSymExeResearch_true.yml	true				
jpf-regression/ExSymExeSimple_false.yml	false				
jpf-regression/ExSymExeSimple_true.yml	true				
jpf-regression/ExSymExeSuzette_false.yml	false				
jpf-regression/ExSymExeSuzette_true.yml	true				
jpf-regression/ExSymExeSwitch_false.yml	false				
jpf-regression/ExSymExeSwitch_true.yml	true				
jpf-regression/ExSymExeTestAssignments_false.yml	false				
jpf-regression/ExSymExeTestAssignments_true.yml	true				
jpf-regression/ExSymExeTestClassFields_false.yml	false				
jpf-regression/ExSymExeTestClassFields_true.yml	true				
jpf-regression/ExSymExe_false.yml	false				
jpf-regression/ExSymExe_true.yml	true				
jpf-regression/TestLazy_false.yml	false				
jpf-regression/TestLazy_true.yml	true				
java-ranger-regression/LoopCharAt.yml	false				
java-ranger-regression/TCAS_prop1.yml	false				
java-ranger-regression/TCAS_prop2.yml	true				
java-ranger-regression/TCAS_prop3.yml	true				
java-ranger-regression/apachecli_eqchk.yml	true				
java-ranger-regression/schedule_eqchk.yml	true				
java-ranger-regression/WBS/WBS_prop1.yml	false				
java-ranger-regression/WBS/WBS_prop2.yml	true				
java-ranger-regression/WBS/WBS_prop3.yml	false				
java-ranger-regression/WBS/WBS_prop4.yml	false				
java-ranger-regression/alarm/Alarm_prop1.yml	true				
java-ranger-regression/alarm/Alarm_prop10.yml	true				
java-ranger-regression/alarm/Alarm_prop2.yml	true				
java-ranger-regression/alarm/Alarm_prop3.yml	true				
java-ranger-regression/alarm/Alarm_prop4.yml	true				
java-ranger-regression/alarm/Alarm_prop5.yml	true				
java-ranger-regression/alarm/Alarm_prop6.yml	true				
java-ranger-regression/alarm/Alarm_prop8.yml	true				
java-ranger-regression/alarm/Alarm_prop9.yml	true				
java-ranger-regression/infusion/Infusion_prop1.yml	true				
java-ranger-regression/infusion/Infusion_prop10.yml	true				
java-ranger-regression/infusion/Infusion_prop11.yml	true				
java-ranger-regression/infusion/Infusion_prop12.yml	true				
java-ranger-regression/infusion/Infusion_prop13.yml	true				
java-ranger-regression/infusion/Infusion_prop2.yml	true				
java-ranger-regression/infusion/Infusion_prop3.yml	true				
java-ranger-regression/infusion/Infusion_prop4.yml	true				
java-ranger-regression/infusion/Infusion_prop5.yml	true				
java-ranger-regression/infusion/Infusion_prop6.yml	true				
java-ranger-regression/infusion/Infusion_prop7.yml	true				
java-ranger-regression/infusion/Infusion_prop8.yml	true				
java-ranger-regression/infusion/Infusion_prop9.yml	true				
java-ranger-regression/siena_eqchk/siena_prop1.yml	true				
java-ranger-regression/siena_eqchk/siena_prop2.yml	false				
java-ranger-regression/replace5_eqchk/replace5_prop1.yml	true				
java-ranger-regression/replace5_eqchk/replace5_prop2.yml	false				
java-ranger-regression/nanoxml_eqchk/nanoxml_prop1.yml	true				
java-ranger-regression/nanoxml_eqchk/nanoxml_prop2.yml	false				
java-ranger-regression/nanoxml_eqchk/nanoxml_prop3.yml	false				
java-ranger-regression/printtokens_eqchk/printtokens_prop1.yml	true				
java-ranger-regression/printtokens_eqchk/printtokens_prop2.yml	false				
MinePump/spec1-5_product1.yml	false				
MinePump/spec1-5_product10.yml	false				
MinePump/spec1-5_product11.yml	false				
MinePump/spec1-5_product12.yml	false				
MinePump/spec1-5_product13.yml	false				
MinePump/spec1-5_product14.yml	false				
MinePump/spec1-5_product15.yml	false				
MinePump/spec1-5_product16.yml	false				
MinePump/spec1-5_product17.yml	false				
MinePump/spec1-5_product18.yml	false				
MinePump/spec1-5_product19.yml	false				
MinePump/spec1-5_product2.yml	false				
MinePump/spec1-5_product20.yml	false				
MinePump/spec1-5_product21.yml	false				
MinePump/spec1-5_product22.yml	false				
MinePump/spec1-5_product23.yml	false				
MinePump/spec1-5_product24.yml	false				
MinePump/spec1-5_product25.yml	false				
MinePump/spec1-5_product26.yml	false				
MinePump/spec1-5_product27.yml	false				
MinePump/spec1-5_product28.yml	false				
MinePump/spec1-5_product29.yml	false				
MinePump/spec1-5_product3.yml	false				
MinePump/spec1-5_product30.yml	false				
MinePump/spec1-5_product31.yml	false				
MinePump/spec1-5_product32.yml	false				
MinePump/spec1-5_product33.yml	false				
MinePump/spec1-5_product34.yml	false				
MinePump/spec1-5_product35.yml	false				
MinePump/spec1-5_product36.yml	false				
MinePump/spec1-5_product37.yml	false				
MinePump/spec1-5_product38.yml	false				
MinePump/spec1-5_product39.yml	false				
MinePump/spec1-5_product4.yml	false				
MinePump/spec1-5_product40.yml	false				
MinePump/spec1-5_product41.yml	false				
MinePump/spec1-5_product42.yml	false				
MinePump/spec1-5_product43.yml	false				
MinePump/spec1-5_product44.yml	false				
MinePump/spec1-5_product45.yml	false				
MinePump/spec1-5_product46.yml	false				
MinePump/spec1-5_product47.yml	false				
MinePump/spec1-5_product48.yml	false				
MinePump/spec1-5_product49.yml	false				
MinePump/spec1-5_product5.yml	false				
MinePump/spec1-5_product50.yml	false				
MinePump/spec1-5_product51.yml	false				
MinePump/spec1-5_product52.yml	false				
MinePump/spec1-5_product53.yml	false				
MinePump/spec1-5_product54.yml	false				
MinePump/spec1-5_product55.yml	false				
MinePump/spec1-5_product56.yml	false				
MinePump/spec1-5_product57.yml	true				
MinePump/spec1-5_product58.yml	true				
MinePump/spec1-5_product59.yml	true				
MinePump/spec1-5_product6.yml	false				
MinePump/spec1-5_product60.yml	true				
MinePump/spec1-5_product61.yml	true				
MinePump/spec1-5_product62.yml	true				
MinePump/spec1-5_product63.yml	true				
MinePump/spec1-5_product64.yml	true				
MinePump/spec1-5_product7.yml	false				
MinePump/spec1-5_product8.yml	false				
MinePump/spec1-5_product9.yml	false				
algorithms/BellmanFord-FunSat01.yml	true				
algorithms/BellmanFord-FunSat02.yml	false				
algorithms/BellmanFord-FunUnsat01.yml	false				
algorithms/BellmanFord-FunUnsat02.yml	false				
algorithms/BellmanFord-MemSat01.yml	true				
algorithms/BellmanFord-MemSat02.yml	true				
algorithms/BellmanFord-MemUnsat01.yml	false				
algorithms/BellmanFord-MemUnsat02.yml	false				
algorithms/BinaryTreeSearch-FunSat01.yml	true				
algorithms/BinaryTreeSearch-FunUnsat01.yml	false				
algorithms/BinaryTreeSearch-MemSat01.yml	true				
algorithms/BinaryTreeSearch-MemUnsat01.yml	false				
algorithms/BinaryTreeSearch-MemUnsat02.yml	false				
algorithms/InsertionSort-FunSat01.yml	true				
algorithms/InsertionSort-FunSat02.yml	true				
algorithms/InsertionSort-FunUnsat01.yml	false				
algorithms/InsertionSort-MemSat01.yml	true				
algorithms/InsertionSort-MemUnsat01.yml	false				
algorithms/MergeSortIterative-FunSat01.yml	true				
algorithms/MergeSortIterative-FunSat02.yml	true				
algorithms/MergeSortIterative-FunUnsat01.yml	false				
algorithms/MergeSortIterative-MemSat01.yml	false				
algorithms/MergeSortIterative-MemUnsat01.yml	false				
algorithms/RedBlackTree-FunSat01.yml	true				
algorithms/RedBlackTree-FunUnsat01.yml	false				
algorithms/RedBlackTree-MemSat01.yml	true				
algorithms/RedBlackTree-MemUnsat01.yml	false				
algorithms/SortedListInsert-FunSat01.yml	true				
algorithms/SortedListInsert-FunSat02.yml	true				
algorithms/SortedListInsert-FunUnsat01.yml	false				
algorithms/SortedListInsert-MemSat01.yml	true				
algorithms/SortedListInsert-MemUnsat01.yml	false				
algorithms/Trie-FunSat01.yml	true				
algorithms/Trie-FunUnsat01.yml	false				
algorithms/Trie-MemSat01.yml	true				
algorithms/Trie-MemUnsat01.yml	false				
algorithms/Tsp-FunSat01.yml	false				
algorithms/Tsp-FunUnsat01.yml	false				
algorithms/Tsp-MemSat01.yml	true				
algorithms/Tsp-MemUnsat01.yml	false				
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_01_bad.yml	false				
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_01_bad_version2.yml	false				
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_01_good.yml	true				
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_81a_bad.yml	false				
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_81a_bad_version2.yml	false				
juliet-java/CWE369_Divide_by_Zero__float_connect_tcp_divide_81a_good.yml	true				
juliet-java/CWE369_Divide_by_Zero__float_console_readLine_divide_54_bad.yml	false				
juliet-java/CWE369_Divide_by_Zero__float_console_readLine_divide_54_bad_version2.yml	false				
juliet-java/CWE369_Divide_by_Zero__float_console_readLine_divide_54_good.yml	true				
jdart-regression/OverapproximationString01.yml	false				
jdart-regression/URLDecoder01.yml	true				
jdart-regression/URLDecoder02.yml	false				
jdart-regression/addition01.yml	false				
jdart-regression/array-iteration01.yml	false				
jdart-regression/boundcheck100.yml	false				
jdart-regression/boundcheck200.yml	false				
jdart-regression/boundcheck30.yml	false				
jdart-regression/double2long.yml	false				
jdart-regression/float.yml	false				
jdart-regression/list2.yml	true				
jdart-regression/radians.yml	false				
jdart-regression/shifting.yml	false				
jdart-regression/shifting2.yml	false				
jdart-regression/shifting3.yml	false				
jdart-regression/startswith.yml	true				
securibench/Aliasing1.yml	false				
securibench/Aliasing2.yml	true				
securibench/Aliasing3.yml	true				
securibench/Aliasing4.yml	false				
securibench/Aliasing5.yml	false				
securibench/Aliasing6.yml	false				
securibench/Arrays1.yml	false				
securibench/Arrays10.yml	false				
securibench/Arrays2.yml	false				
securibench/Arrays3.yml	false				
securibench/Arrays4.yml	false				
securibench/Arrays5.yml	true				
securibench/Arrays6.yml	false				
securibench/Arrays7.yml	false				
securibench/Arrays8.yml	false				
securibench/Arrays9.yml	false				
securibench/Basic1.yml	false				
securibench/Basic10.yml	false				
securibench/Basic11.yml	false				
securibench/Basic12.yml	false				
securibench/Basic15.yml	false				
securibench/Basic16.yml	false				
securibench/Basic17.yml	false				
securibench/Basic18.yml	false				
securibench/Basic19.yml	false				
securibench/Basic2.yml	false				
securibench/Basic20.yml	false				
securibench/Basic21.yml	false				
securibench/Basic24.yml	false				
securibench/Basic25.yml	false				
securibench/Basic26.yml	false				
securibench/Basic27.yml	false				
securibench/Basic28.yml	true				
securibench/Basic29.yml	false				
securibench/Basic3.yml	false				
securibench/Basic30.yml	false				
securibench/Basic31.yml	false				
securibench/Basic32.yml	false				
securibench/Basic33.yml	false				
securibench/Basic34.yml	false				
securibench/Basic35.yml	false				
securibench/Basic37.yml	false				
securibench/Basic38.yml	false				
securibench/Basic39.yml	false				
securibench/Basic4.yml	false				
securibench/Basic5.yml	false				
securibench/Basic6.yml	true				
securibench/Basic7.yml	false				
securibench/Basic8.yml	true				
securibench/Basic9.yml	false				
securibench/Collections1.yml	false				
securibench/Collections10.yml	false				
securibench/Collections12.yml	false				
securibench/Collections13.yml	false				
securibench/Collections14.yml	false				
securibench/Collections2.yml	false				
securibench/Collections3.yml	false				
securibench/Collections4.yml	false				
securibench/Collections5.yml	false				
securibench/Collections6.yml	false				
securibench/Collections7.yml	false				
securibench/Collections8.yml	true				
securibench/Collections9.yml	true				
securibench/Datastructures1.yml	false				
securibench/Datastructures2.yml	false				
securibench/Datastructures3.yml	false				
securibench/Datastructures4.yml	true				
securibench/Datastructures5.yml	false				
securibench/Datastructures6.yml	false				
securibench/Factories1.yml	false				
securibench/Factories2.yml	false				
securibench/Factories3.yml	false				
securibench/Inter1.yml	false				
securibench/Inter10.yml	false				
securibench/Inter11.yml	false				
securibench/Inter12.yml	false				
securibench/Inter13.yml	false				
securibench/Inter14.yml	false				
securibench/Inter2.yml	false				
securibench/Inter3.yml	false				
securibench/Inter4.yml	false				
securibench/Inter5.yml	false				
securibench/Inter6.yml	false				
securibench/Inter7.yml	false				
securibench/Inter8.yml	false				
securibench/Inter9.yml	false				
securibench/Pred1.yml	true				
securibench/Pred2.yml	false				
securibench/Pred3.yml	true				
securibench/Pred4.yml	false				
securibench/Pred5.yml	false				
securibench/Pred6.yml	true				
securibench/Pred7.yml	true				
securibench/Pred8.yml	false				
securibench/Pred9.yml	true				
securibench/Refl1.yml	false				
securibench/Refl2.yml	false				
securibench/Refl3.yml	false				
securibench/Refl4.yml	false				
securibench/Sanitizers1.yml	false				
securibench/Sanitizers2.yml	true				
securibench/Sanitizers3.yml	true				
securibench/Sanitizers4.yml	false				
securibench/Sanitizers5.yml	false				
securibench/Sanitizers6.yml	true				
securibench/Session1.yml	false				
securibench/Session2.yml	false				
securibench/Session3.yml	false				
securibench/StrongUpdates1.yml	true				
securibench/StrongUpdates2.yml	true				
securibench/StrongUpdates3.yml	true				
securibench/StrongUpdates4.yml	true				
securibench/StrongUpdates5.yml	true				
float_unboundedloop/Adjustable-Inner-Count-Halving.yml	false				
float_unboundedloop/Alternating-Step-Schedule.yml	true				
float_unboundedloop/Batch-Conveyor-Counter.yml	true				
float_unboundedloop/Bounded-Proportional-Update.yml	true				
float_unboundedloop/Bounded-Reset-Linear-Growth.yml	true				
float_unboundedloop/Clamped-Triangular-Drift.yml	true				
float_unboundedloop/Cyclic-Preset-Inner-ABC.yml	true				
float_unboundedloop/Fixed-Block-Accumulator.yml	true				
float_unboundedloop/Hysteresis-On-Off-with-Deadband.yml	false				
float_unboundedloop/Inner-Retry-Until-OK.yml	true				
float_unboundedloop/Leak-and-Refill.yml	true				
float_unboundedloop/Mixed-Phase-AddHalve-with-Slack-Box.yml	true				
float_unboundedloop/Nested-Drain-Then-Step.yml	true				
float_unboundedloop/Nested-MinStep-Regulator.yml	true				
float_unboundedloop/Nested-PingPong-with-Caps.yml	true				
float_unboundedloop/Nested-Saturation-Then-Reset.yml	true				
float_unboundedloop/Nested-Windowed-Add-Remove.yml	true				
float_unboundedloop/Producer-Consumer-Level.yml	true				
float_unboundedloop/Ramp-and-Hold.yml	true				
float_unboundedloop/Safe-Accumulator-with-Bounded-Noise.yml	true				
float_unboundedloop/Saturating-Integrator.yml	true				
float_unboundedloop/Slew-Rate-Limiter.yml	true				
float_unboundedloop/Switched-Linear-Plant.yml	true				
float_unboundedloop/Two-Band-Piecewise-Linear-Oscillator.yml	true				
float_unboundedloop/Two-Counter-Lexicographic-Small.yml	true				
float_unboundedloop/Two-Level-Nested-Scheduler.yml	true				
float_unboundedloop/Two-State-FP-Oscillator.yml	true				
float_unboundedloop/Two-Var-Nested-Handshake.yml	true				
float_unboundedloop/Two-Variable_Averaging_Filter.yml	true				
float_unboundedloop/Unbounded-Outer-Inner-Safety-Gate.yml	true				
float-nonlinear-calculation/Bessel.yml	true				
